ID_MINSAL,COMUNA,ID,ESTADO,,
109,Algarrobo,3,Preparación ,,
888,Alhué,3,Preparación desde el miércoles 19 de enero a las 5 am,,
889,Alto Biobío,4,Apertura inicial,,
890,Alto del Carmen,3,Preparación,,
302,Alto Hospicio,2,Transición desde el miércoles 19 de enero a las 5 am,,
347,Ancud,4,Apertura inicial,,
277,Andacollo,4,Apertura inicial,,
216,Angol,3,Preparación ,,
2101,Antofagasta,4,Apertura inicial,,
7,Antuco,3,Preparación ,,
303,Arauco,4,Apertura inicial,,
198,Arica,3,Preparación ,,
1,Aysén,3,Preparación ,,
2101,Buín,3,Preparación ,,
285,Bulnes,3,Preparación desde el miércoles 19 de enero a las 5 am,,
103,Cabildo,3,Preparación desde el miércoles 19 de enero a las 5 am,,
180,Cabo de Hornos,4,Apertura inicial,,
56,Cabrero,4,Apertura inicial,,
319,Calama,4,Apertura inicial ,,
208,Calbuco,3,Preparación ,,
10,Caldera,3,Preparación,,
891,Calera,3,Preparación ,,
265,Calera de Tango,4,Apertura inicial ,,
14,Calle Larga,3,Preparación desde el miércoles 19 de enero a las 5 am,,
99,Camarones,4,Apertura inicial,,
892,Camiña,4,Apertura inicial ,,
67,Canela,3,Preparación desde el miércoles 19 de enero a las 5 am,,
295,Cañete,4,Apertura inicial,,
296,Carahue,2,Transición,,
31,Cartagena,4,Apertura inicial,,
201,Casablanca,3,Preparación ,,
893,Castro,3,Preparación desde el miércoles 19 de enero a las 5 am,,
46,Catemu,4,Apertura Inicial desde el miércoles 19 de enero a las 5 am,,
40,Cauquenes,4,Apertura inicial,,
270,Cerrillos,3,Preparación,,
63,Cerro Navia,3,Preparación desde el miércoles 19 de enero a las 5 am,,
166,Chaitén,3,Preparación desde el miércoles 19 de enero a las 5 am,,
333,Chanco,4,Apertura inicial ,,
324,Chañaral,4,Apertura inicial,,
894,Chepica,2,Transición ,,
167,Chiguayante,4,Apertura inicial,,
11,Chile Chico,3,Preparación ,,
132,Chillán,2,Transición,,
344,Chillán Viejo,3,Preparación desde el miércoles 19 de enero a las 5 am,,
287,Chimbarongo,3,Preparación desde el miércoles 19 de enero a las 5 am,,
168,Cholchol,4,Apertura inicial,,
342,Chonchi,4,Apertura inicial,,
125,Cisnes,3,Preparación ,,
348,Cobquecura,3,Preparación desde el miércoles 19 de enero a las 5 am,,
271,Cochamó,3,Preparación desde el miércoles 19 de enero a las 5 am,,
175,Cochrane,3,Preparación,,
262,Codegua,4,Apertura inicial ,,
289,Coelemu,4,Apertura inicial,,
110,Coihueco,4,Apertura inicial,,
896,Coinco,4,Apertura inicial ,,
170,Colbún,4,Apertura inicial,,
114,Colchane,4,Apertura inicial,,
161,Colina,3,Preparación desde el miércoles 19 de enero a las 5 am,,
297,Collipulli,3,Preparación desde el miércoles 19 de enero a las 5 am,,
76,Coltauco,3,Preparación,,
220,Combarbalá,4,Apertura inicial,,
113,Concepción,4,Apertura inicial ,,
29,Conchalí,3,Preparación ,,
5309,CONCÓN,3,Preparación desde el miércoles 19 de enero a las 5 am,,
75,Constitución,3,Preparación ,,
340,Contulmo,4,Apertura inicial,,
5309,Copiapó,4,Apertura inicial ,,
4103,Coquimbo,3,Preparación,,
157,Coronel,3,Preparación desde el miércoles 19 de enero a las 5 am,,
202,Corral,3,Preparación ,,
11401,Coyhaique,2,Transición ,,
13,Cunco,3,Preparación desde el miércoles 19 de enero a las 5 am,,
21,Curacautín,3,Preparación desde el miércoles 19 de enero a las 5 am,,
194,Curacaví,4,Apertura inicial,,
244,Curaco de Vélez,3,Preparación desde el miércoles 19 de enero a las 5 am,,
284,Curanilahue,3,Preparación ,,
230,Curarrehue,3,Preparación ,,
225,Curepto,3,Preparación,,
83,Curicó,4,Apertura inicial ,,
276,Dalcahue,4,Apertura inicial ,,
197,Diego de Almagro,3,Preparación ,,
305,Doñihue,3,Preparación desde el miércoles 19 de enero a las 5 am,,
155,El Bosque,4,Apertura inicial,,
140,El Carmen,3,Preparación desde el miércoles 19 de enero a las 5 am,,
279,El Monte,3,Preparación desde el miércoles 19 de enero a las 5 am,,
12,El Quisco,3,Preparación desde el miércoles 19 de enero a las 5 am,,
112,El Tabo,3,Preparación ,,
338,Empedrado,3,Preparación ,,
185,Ercilla,4,Apertura inicial ,,
89,Estación Central,4,Apertura inicial,,
45,Florida,3,Preparación desde el miércoles 19 de enero a las 5 am,,
47,Freire,4,Apertura inicial ,,
158,Freirina,3,Preparación desde el miércoles 19 de enero a las 5 am,,
221,Fresia,4,Apertura inicial ,,
328,Frutillar,3,Preparación ,,
193,Futaleufú,3,Preparación,,
229,Futrono,4,Apertura inicial ,,
17,Galvarino,3,Preparación desde el miércoles 19 de enero a las 5 am,,
268,General Lagos,4,Apertura inicial,,
269,Gorbea,4,Apertura inicial,,
281,Graneros,3,Preparación ,,
232,Guaitecas,4,Apertura inicial,,
293,Hijuelas,4,Apertura inicial ,,
238,Hualaihué,4,Apertura inicial ,,
107,Hualañé,3,Preparación ,,
309,Hualpén,4,Apertura inicial,,
51,Hualqui,3,Preparación ,,
308,Huara,3,Preparación ,,
144,Huasco,3,Preparación desde el miércoles 19 de enero a las 5 am,,
346,Huechuraba,4,Apertura inicial ,,
192,Illapel,3,Preparación desde el miércoles 19 de enero a las 5 am,,
3,Independencia,4,Apertura inicial ,,
18,Iquique,3,Preparación desde el miércoles 19 de enero a las 5 am,,
334,Isla de Maipo,2,Transición ,,
899,Isla de Pascua,3,Preparación desde el miércoles 19 de enero a las 5 am,,
30,Juan Fernández,4,Apertura inicial,,
2,La Cisterna,4,Apertura inicial,,
87,La Cruz,3,Preparación desde el miércoles 19 de enero a las 5 am,,
41,La Estrella,4,Apertura inicial,,
321,La Florida,4,Apertura inicial,,
50,La Granja,3,Preparación desde el miércoles 19 de enero a las 5 am,,
96,La Higuera,3,Preparación desde el miércoles 19 de enero a las 5 am,,
49,La Ligua,4,Apertura inicial ,,
139,La Pintana,3,Preparación desde el miércoles 19 de enero a las 5 am,,
93,La Reina,3,Preparación desde el miércoles 19 de enero a las 5 am,,
